"scenario";"Ass";"Rule";"Rec";"INN";"OER";"Fscan";"stock";"year";"rec_q95";"ssb_q95";"f_q95";"biomass_q95";"catch_q95";"landings_q95";"discards_q95";"catch.iyv_q95";"land.iyv_q95";"disc.iyv_q95";"rec_q50";"ssb_q50";"f_q50";"biomass_q50";"catch_q50";"landings_q50";"discards_q50";"catch.iyv_q50";"land.iyv_q50";"disc.iyv_q50";"rec_q05";"ssb_q05";"f_q05";"biomass_q05";"catch_q05";"landings_q05";"discards_q05";"catch.iyv_q05";"land.iyv_q05";"disc.iyv_q05";"pBlim_q95";"pBlim_q50";"pBlim_q05";"pBpa_q95";"pBpa_q50";"pBpa_q05";"pBtarget_q95";"pBtarget_q50";"pBtarget_q05";"pFlim_q95";"pFlim_q50";"pFlim_q05";"pFpa_q95";"pFpa_q50";"pFpa_q05";"pFtarget_q95";"pFtarget_q50";"pFtarget_q05"
"ASSnone_HCR12_REClow_INNvar_OERnone_Fscan0.01";"ASSnone";"HCR12";"REClow";"INNvar";"OERnone";0.01;"PIL";2020;14588394.2357506;425929.307846302;0.0734260505723108;426967.628316344;19106;19106;0;1.38861792390848;1.38861792390848;NA;7047430.99367849;345546.621481903;0.0625447340112427;346421.380214675;19106;19106;0;1.38861792390848;1.38861792390848;NA;3460082.86117786;289594.730375808;0.0521942327139874;290421.18478947;19106;19106;0;1.38861792390848;1.38861792390848;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ASSnone_HCR12_REClow_INNvar_OERnone_Fscan0.01";"ASSnone";"HCR12";"REClow";"INNvar";"OERnone";0.01;"PIL";2021;14166559.4277711;455337.923346113;0.0162543826362936;455337.923346113;5557.6404549416;5557.6404549416;0;0.290884562699759;0.290884562699759;NA;7013846.42767822;351916.053072019;0.0109846763473922;351916.053072019;3851.82017817401;3851.82017817401;0;0.201602647240344;0.201602647240344;NA;3386197.84026637;284679.771469872;0.00794106057922216;284679.771469872;2836.58796156656;2836.58796156656;0;0.148465820243199;0.148465820243199;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ASSnone_HCR12_REClow_INNvar_OERnone_Fscan0.01";"ASSnone";"HCR12";"REClow";"INNvar";"OERnone";0.01;"PIL";2022;13992038.8227769;470616.506556868;0.0185001788841459;470616.506556868;6636.00432076872;6636.00432076872;0;1.4178812056304;1.4178812056304;NA;6967579.63964541;361574.433826157;0.0114509449052553;361574.433826157;4136.69764347087;4136.69764347087;0;1.11633270572552;1.11633270572552;NA;3492724.05088038;286608.275415504;0.00800410359832696;286608.275415504;2877.00165509572;2877.00165509572;0;0.792905111478845;0.792905111478845;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ASSnone_HCR12_REClow_INNvar_OERnone_Fscan0.01";"ASSnone";"HCR12";"REClow";"INNvar";"OERnone";0.01;"PIL";2023;15146361.1290804;471617.019536849;0.0110525891375317;471617.019536849;4674.41905439349;4674.41905439349;0;1.23425889733814;1.23425889733814;NA;6962799.7513078;359247.866951264;0.0100657516140931;359247.866951264;3608.16899727655;3608.16899727655;0;0.879143939934839;0.879143939934839;NA;3398728.79450618;277519.801959724;0.00852467720790283;277519.801959724;2847.44545722722;2847.44545722722;0;0.54502220469427;0.54502220469427;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ASSnone_HCR12_REClow_INNvar_OERnone_Fscan0.01";"ASSnone";"HCR12";"REClow";"INNvar";"OERnone";0.01;"PIL";2024;14479301.9740604;482190.917710092;0.0114031469765344;482190.917710092;4890.45471762121;4890.45471762121;0;1.24998133203684;1.24998133203684;NA;7012735.53244356;358024.785568325;0.0103583971121735;358024.785568325;3727.2526991958;3727.2526991958;0;1.01304787535693;1.01304787535693;NA;3394584.79298581;280875.798244723;0.00878946470581053;280875.798244723;2861.27922527042;2861.27922527042;0;0.890298598154827;0.890298598154827;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ASSnone_HCR12_REClow_INNvar_OERnone_Fscan0.01";"ASSnone";"HCR12";"REClow";"INNvar";"OERnone";0.01;"PIL";2025;13855782.5864422;481770.485139211;0.0114364679967501;481770.485139211;4950.81962628246;4950.81962628246;0;1.21419258877582;1.21419258877582;NA;6930795.87649738;357016.839749753;0.0103880554687901;357016.839749753;3652.92574319251;3652.92574319251;0;0.970502980463977;0.970502980463977;NA;3387499.4367581;279224.934615801;0.00877992518151151;279224.934615801;2820.08750125848;2820.08750125848;0;0.845634772073886;0.845634772073886;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ASSnone_HCR12_REClow_INNvar_OERnone_Fscan0.01";"ASSnone";"HCR12";"REClow";"INNvar";"OERnone";0.01;"PIL";2026;13346867.784676;472996.840642996;0.0110804318059305;472996.840642996;4784.29688332075;4784.29688332075;0;1.18097386816285;1.18097386816285;NA;7050653.76350964;357860.181208156;0.0100175057886218;357860.181208156;3497.94761722324;3497.94761722324;0;0.947002082126283;0.947002082126283;NA;3628934.36506404;278418.642278067;0.00853265586636598;278418.642278067;2695.76555568912;2695.76555568912;0;0.830054668926004;0.830054668926004;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ASSnone_HCR12_REClow_INNvar_OERnone_Fscan0.01";"ASSnone";"HCR12";"REClow";"INNvar";"OERnone";0.01;"PIL";2027;14272956.4043288;466343.832354;0.0110757408143129;466343.832354;4691.0462767778;4691.0462767778;0;1.20563923301603;1.20563923301603;NA;6985005.44314574;360712.70504719;0.00996170290239035;360712.70504719;3519.22060237382;3519.22060237382;0;0.982356386837462;0.982356386837462;NA;3583341.45746348;277257.242893696;0.00857103438998616;277257.242893696;2696.07550738396;2696.07550738396;0;0.858395029340751;0.858395029340751;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ASSnone_HCR12_REClow_INNvar_OERnone_Fscan0.01";"ASSnone";"HCR12";"REClow";"INNvar";"OERnone";0.01;"PIL";2028;13547963.409425;473144.185412165;0.0110300443885181;473144.185412165;4654.71675881374;4654.71675881374;0;1.20542705766708;1.20542705766708;NA;6906369.86495651;357892.397619324;0.00997952340380047;357892.397619324;3535.68289225425;3535.68289225425;0;0.984584381493297;0.984584381493297;NA;3557903.01533222;273041.997735529;0.00846972787939554;273041.997735529;2688.44636593833;2688.44636593833;0;0.858578123825672;0.858578123825672;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ASSnone_HCR12_REClow_INNvar_OERnone_Fscan0.01";"ASSnone";"HCR12";"REClow";"INNvar";"OERnone";0.01;"PIL";2029;14727109.469819;467466.307685688;0.0110207388059053;467466.307685688;4658.37832655556;4658.37832655556;0;1.21975036223777;1.21975036223777;NA;7075210.78964909;357692.529751;0.00998867614388361;357692.529751;3528.51083561141;3528.51083561141;0;0.988806215926428;0.988806215926428;NA;3324906.38731183;274514.18410339;0.00857838190982523;274514.18410339;2647.17048809428;2647.17048809428;0;0.860090897847555;0.860090897847555;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
